Country,Confirmed Cases,Active Cases,New Cases,Critical Cases,New Deaths,Total Deaths,Recovered Cases,Test/ 1M pop,Total Cases/1M pop,Total Deaths/1M Pop,Tests Performed,Continent,iso_alpha
Timor-Leste,22890,11,,,,131,22748,194124,16760,96,265125,Asia,TLS
Martinique,153253,152223,,8,,926,104,2212144,408983,2471,828928,North America,MTQ
Dominican Republic,581153,629,,1,,4377,576147,300283,52579,396,3318995,North America,DOM
Caribbean Netherlands,9986,65,,,,35,9886,1129076,374260,1312,30126,North America,Unknown code
Panama,830287,28014,,16,,8227,794046,1380352,186886,1852,6132544,North America,PAN
Bermuda,14442,360,,,,137,13945,14603654,233519,2215,903163,North America,BMU
Saint Kitts and Nevis,5669,56,,,,43,5570,1311624,105161,798,70707,North America,KNA
Bahamas,34274,871,,,,810,32593,587504,85616,2023,235192,North America,BHS
Greenland,11971,9189,,4,,21,2761,2895674,210180,369,164926,North America,GRL
Peru,3576042,,,189,,213106,,899855,105684,6298,30448621,South America,PER
Chile,3643136,101344,,142,,57802,3483990,1960323,187545,2976,38080050,South America,CHL
Paraguay,650283,6725,,4,,18885,624673,360904,89109,2588,2633737,South America,PRY
